0.75;0.75;0.75;0.75;0.75;0.74;0.75;0.75;0.75;0.75;
0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.76;0.75;0.75;
0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.74;
0.76;0.76;0.75;0.75;0.75;0.76;0.75;0.75;0.75;0.71;
0.74;0.74;0.75;0.75;0.75;0.74;0.94;2.14;1.21;3.29;
3.88;5.58;3.78;5.56;3.31;7.03;6.05;6.89;5.48;3.94;
5.05;6.94;8.72;6.96;2.48;3.68;6.68;7.84;8.57;3.70;
3.75;2.80;4.89;7.27;7.93;7.02;3.46;2.66;4.35;6.22;
7.29;4.85;3.81;1.89;2.61;5.53;6.89;6.95;4.00;3.46;
2.25;2.82;2.06;0.89;0.63;0.79;0.91;6.72;0.46;0.80;
